2024-11-21 11:26:25,390 - <__main__.PhysicsInformedNN object at 0x150f8e08d9d0>
2024-11-21 11:26:25,608 - Iter: 0, Loss: 9.011e-01
2024-11-21 11:26:25,875 - Iter: 10, Loss: 3.529e-01
2024-11-21 11:26:26,121 - Iter: 20, Loss: 2.469e-01
2024-11-21 11:26:26,367 - Iter: 30, Loss: 1.683e-01
2024-11-21 11:26:26,612 - Iter: 40, Loss: 1.370e-01
2024-11-21 11:26:26,858 - Iter: 50, Loss: 1.269e-01
2024-11-21 11:26:27,104 - Iter: 60, Loss: 1.147e-01
2024-11-21 11:26:27,350 - Iter: 70, Loss: 1.078e-01
2024-11-21 11:26:27,596 - Iter: 80, Loss: 1.031e-01
2024-11-21 11:26:27,842 - Iter: 90, Loss: 9.946e-02
2024-11-21 11:26:28,088 - Iter: 100, Loss: 9.730e-02
2024-11-21 11:26:28,334 - Iter: 110, Loss: 9.934e-02
2024-11-21 11:26:28,580 - Iter: 120, Loss: 8.789e-02
2024-11-21 11:26:28,826 - Iter: 130, Loss: 8.370e-02
2024-11-21 11:26:29,072 - Iter: 140, Loss: 8.889e-02
2024-11-21 11:26:29,318 - Iter: 150, Loss: 8.106e-02
2024-11-21 11:26:29,563 - Iter: 160, Loss: 7.385e-02
2024-11-21 11:26:29,809 - Iter: 170, Loss: 7.075e-02
2024-11-21 11:26:30,055 - Iter: 180, Loss: 6.908e-02
2024-11-21 11:26:30,301 - Iter: 190, Loss: 7.909e-02
2024-11-21 11:26:30,547 - Iter: 200, Loss: 6.749e-02
2024-11-21 11:26:30,793 - Iter: 210, Loss: 6.567e-02
2024-11-21 11:26:31,038 - Iter: 220, Loss: 6.404e-02
2024-11-21 11:26:31,284 - Iter: 230, Loss: 6.295e-02
2024-11-21 11:26:31,530 - Iter: 240, Loss: 6.220e-02
2024-11-21 11:26:31,776 - Iter: 250, Loss: 6.138e-02
2024-11-21 11:26:32,022 - Iter: 260, Loss: 6.064e-02
2024-11-21 11:26:32,267 - Iter: 270, Loss: 6.225e-02
2024-11-21 11:26:32,513 - Iter: 280, Loss: 6.167e-02
2024-11-21 11:26:32,759 - Iter: 290, Loss: 6.099e-02
2024-11-21 11:26:33,005 - Iter: 300, Loss: 6.033e-02
2024-11-21 11:26:33,251 - Iter: 310, Loss: 5.958e-02
2024-11-21 11:26:33,497 - Iter: 320, Loss: 5.848e-02
2024-11-21 11:26:33,743 - Iter: 330, Loss: 5.800e-02
2024-11-21 11:26:33,989 - Iter: 340, Loss: 6.878e-02
2024-11-21 11:26:34,235 - Iter: 350, Loss: 6.192e-02
2024-11-21 11:26:34,480 - Iter: 360, Loss: 5.880e-02
2024-11-21 11:26:34,726 - Iter: 370, Loss: 5.777e-02
2024-11-21 11:26:34,972 - Iter: 380, Loss: 5.672e-02
2024-11-21 11:26:35,218 - Iter: 390, Loss: 5.613e-02
2024-11-21 11:26:35,464 - Iter: 400, Loss: 5.577e-02
2024-11-21 11:26:35,710 - Iter: 410, Loss: 5.539e-02
2024-11-21 11:26:35,955 - Iter: 420, Loss: 5.505e-02
2024-11-21 11:26:36,201 - Iter: 430, Loss: 5.468e-02
2024-11-21 11:26:36,447 - Iter: 440, Loss: 5.646e-02
2024-11-21 11:26:36,693 - Iter: 450, Loss: 7.527e-02
2024-11-21 11:26:36,938 - Iter: 460, Loss: 5.947e-02
2024-11-21 11:26:37,184 - Iter: 470, Loss: 5.563e-02
2024-11-21 11:26:37,430 - Iter: 480, Loss: 5.415e-02
2024-11-21 11:26:37,676 - Iter: 490, Loss: 5.364e-02
2024-11-21 11:26:37,921 - Iter: 500, Loss: 5.333e-02
2024-11-21 11:26:38,168 - Iter: 510, Loss: 5.291e-02
2024-11-21 11:26:38,413 - Iter: 520, Loss: 5.254e-02
2024-11-21 11:26:38,659 - Iter: 530, Loss: 5.220e-02
2024-11-21 11:26:38,905 - Iter: 540, Loss: 5.193e-02
2024-11-21 11:26:39,151 - Iter: 550, Loss: 9.103e-02
2024-11-21 11:26:39,397 - Iter: 560, Loss: 5.292e-02
2024-11-21 11:26:39,643 - Iter: 570, Loss: 5.436e-02
2024-11-21 11:26:39,889 - Iter: 580, Loss: 5.156e-02
2024-11-21 11:26:40,135 - Iter: 590, Loss: 5.098e-02
2024-11-21 11:26:40,381 - Iter: 600, Loss: 5.067e-02
2024-11-21 11:26:40,626 - Iter: 610, Loss: 5.038e-02
2024-11-21 11:26:40,872 - Iter: 620, Loss: 7.715e-02
2024-11-21 11:26:41,118 - Iter: 630, Loss: 6.259e-02
2024-11-21 11:26:41,364 - Iter: 640, Loss: 5.089e-02
2024-11-21 11:26:41,610 - Iter: 650, Loss: 5.087e-02
2024-11-21 11:26:41,855 - Iter: 660, Loss: 4.989e-02
2024-11-21 11:26:42,101 - Iter: 670, Loss: 4.936e-02
2024-11-21 11:26:42,347 - Iter: 680, Loss: 4.905e-02
2024-11-21 11:26:42,593 - Iter: 690, Loss: 4.878e-02
2024-11-21 11:26:42,839 - Iter: 700, Loss: 4.850e-02
2024-11-21 11:26:43,084 - Iter: 710, Loss: 4.826e-02
2024-11-21 11:26:43,337 - Iter: 720, Loss: 4.801e-02
2024-11-21 11:26:43,583 - Iter: 730, Loss: 4.778e-02
2024-11-21 11:26:43,828 - Iter: 740, Loss: 4.754e-02
2024-11-21 11:26:44,074 - Iter: 750, Loss: 4.731e-02
2024-11-21 11:26:44,320 - Iter: 760, Loss: 4.968e-02
2024-11-21 11:26:44,566 - Iter: 770, Loss: 5.288e-02
2024-11-21 11:26:44,811 - Iter: 780, Loss: 6.334e-02
2024-11-21 11:26:45,057 - Iter: 790, Loss: 5.237e-02
